Injury.Severity,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Weather.Condition
Non-Fatal,Airplane,Mcdonnell Douglas,DC9,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,Cessna,140,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,401B,No,2.0,Reciprocating,Business,IMC
Non-Fatal,Airplane,Bellanca,17-30A,No,1.0,Reciprocating,Personal,IMC
Fatal(1),Airplane,Cessna,R172K,No,1.0,Reciprocating,Personal,IMC
Fatal(1),Airplane,Navion,A,No,1.0,Reciprocating,Personal,IMC
Fatal(2),Airplane,Beech,19,No,1.0,Reciprocating,Personal,IMC
Fatal(3),Airplane,Cessna,180,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,172,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,152,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Cessna,150L,No,1.0,Reciprocating,Personal,VMC
Incident,Airplane,Piper,PA-24-180,No,1.0,Reciprocating,Personal,VMC
Fatal(2),Airplane,Grumman,AA-5B,No,1.0,Reciprocating,Personal,IMC
Fatal(8),Airplane,Cessna,414A,No,2.0,Reciprocating,Business,IMC
Fatal(1),Airplane,Beechcraft,BE-58,No,2.0,Reciprocating,Personal,IMC
Non-Fatal,Airplane,Maule,M-5-235C,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,210L,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Bellanca,7GCBC,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,182,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Air Tractor,AT-301,No,1.0,Reciprocating,Ferry,VMC
Fatal(4),Airplane,Piper,PA-28-161,No,1.0,Reciprocating,Personal,VMC
Fatal(2),Airplane,Piper,PA-34-200T,No,2.0,Reciprocating,Unknown,VMC
Fatal(2),Airplane,Cessna,T337G,No,2.0,Reciprocating,Personal,IMC
Non-Fatal,Airplane,Piper,PA-28R-200,No,1.0,Reciprocating,Personal,VMC
Fatal(1),Airplane,Cessna,206,No,1.0,Reciprocating,Business,VMC
Fatal(3),Airplane,Navion,A,No,1.0,Reciprocating,Business,IMC
Fatal(1),Airplane,Piper,PA-22,No,1.0,Reciprocating,Personal,IMC
Fatal(2),Airplane,Piper,PA-31,No,2.0,Reciprocating,Unknown,VMC
Incident,Airplane,Rockwell,114,No,1.0,Reciprocating,Business,VMC
Non-Fatal,Airplane,Piper,PA-24-250,No,1.0,Reciprocating,Business,VMC
Non-Fatal,Airplane,Piper,PA-28R-200,No,1.0,Reciprocating,Ferry,VMC
Non-Fatal,Airplane,Cessna,TR182,No,1.0,Reciprocating,Unknown,VMC
Non-Fatal,Airplane,Cessna,A185F,No,1.0,Reciprocating,Unknown,VMC
Non-Fatal,Airplane,Cessna,340,Yes,2.0,Reciprocating,Executive/corporate,VMC
Non-Fatal,Airplane,Beech,35,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,152,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Mooney,M-20J,No,1.0,Reciprocating,Business,VMC
Non-Fatal,Airplane,Boeing,A75,No,1.0,Reciprocating,Unknown,IMC
Fatal(2),Airplane,Cessna,210,No,1.0,Reciprocating,Unknown,VMC
Non-Fatal,Airplane,Beech,V35,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Curtis,C46,No,2.0,Reciprocating,Unknown,VMC
Fatal(1),Airplane,Cessna,172M,No,1.0,Reciprocating,Personal,IMC
Fatal(1),Airplane,Piper,PA-28-140,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,TU206G,No,1.0,Reciprocating,Business,VMC
Non-Fatal,Airplane,Cessna,152,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Piper,PA-24-250,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Cessna,152,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Cessna,172N,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,152,No,1.0,Reciprocating,Instructional,VMC
Non-Fatal,Airplane,Cessna,P210N,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,172,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Piper,PA-34,No,2.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,305 (L-19),No,1.0,Reciprocating,Unknown,VMC
Non-Fatal,Airplane,Cessna,182A,No,1.0,Reciprocating,Unknown,VMC
Non-Fatal,Airplane,Piper,PA-23-250,No,2.0,Reciprocating,Unknown,UNK
Non-Fatal,Airplane,Cessna,172N,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Piper,23-250,No,2.0,Reciprocating,Personal,IMC
Fatal(1),Airplane,Mooney,M20G,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,TU206F,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Quickie,1,Yes,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,U206,No,1.0,Reciprocating,Unknown,VMC
Non-Fatal,Airplane,Piper,PA-28-140,No,1.0,Reciprocating,Personal,VMC
Fatal(4),Airplane,Cessna,210N,No,1.0,Reciprocating,Personal,IMC
Non-Fatal,Airplane,Cessna,180,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,310L,No,2.0,Reciprocating,Personal,VMC
Incident,Airplane,Lockheed,L-1011,No,3.0,Turbo Fan,Unknown,UNK
Incident,Airplane,Embraer,EMB-110P1,No,2.0,Turbo Prop,Unknown,VMC
Non-Fatal,Airplane,Cessna,414,No,2.0,Reciprocating,Personal,UNK
Non-Fatal,Airplane,Beech,P35,No,1.0,Reciprocating,Personal,IMC
Non-Fatal,Airplane,Grumman,AA5B,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Piper,PA-28R-201T,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Beech,A23-24,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Piper,PA-31-350,No,2.0,Reciprocating,Unknown,IMC
Fatal(3),Airplane,Cessna,T210N,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,172,No,1.0,Reciprocating,Personal,VMC
Non-Fatal,Airplane,Cessna,140,No,1.0,Reciprocating,Unknown,VMC
Non-Fatal,Airplane,Swearingen,SA 226-TC,No,2.0,Turbo Prop,Unknown,VMC
Non-Fatal,Airplane,Beech,C-45H,No,2.0,Reciprocating,Unknown,VMC
Non-Fatal,Airplane,De Havilland,DHC-2-MK3,No,1.0,Turbo Prop,Unknown,VMC
