Injury.Severity,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Weather.Condition
Non-Fatal,Airplane,Mcdonnell Douglas,DC9,No,2.0,Turbo Fan,,VMC
Incident,Airplane,Dassault/sud,FALCON 20,No,2.0,Turbo Fan,Unknown,VMC
Fatal(2),Airplane,Mcdonnell Douglas,DC-10-30,No,3.0,Turbo Fan,Unknown,IMC
Non-Fatal,Airplane,Mcdonnell-douglas,DC-10-10,No,3.0,Turbo Fan,Unknown,IMC
Incident,Airplane,Boeing,707-131B,No,4.0,Turbo Fan,Unknown,VMC
Incident,Airplane,Douglas,DC-9-82,No,2.0,Turbo Fan,Unknown,VMC
Incident,Airplane,Rockwell,SABRELINER 65,No,2.0,Turbo Fan,Executive/corporate,VMC
Incident,Airplane,Boeing,727-200,No,3.0,Turbo Fan,Unknown,IMC
Non-Fatal,Airplane,Boeing,727-200,No,3.0,Turbo Fan,Unknown,VMC
Incident,Airplane,Rockwell,NA-265-65,No,2.0,Turbo Fan,Executive/corporate,VMC
Incident,Airplane,Lockheed,L-1011,No,3.0,Turbo Fan,Unknown,VMC
Non-Fatal,Airplane,Douglas,DC10-10,No,3.0,Turbo Fan,Unknown,VMC
Non-Fatal,Airplane,Douglas,DC8-52,No,4.0,Turbo Fan,Unknown,VMC
Non-Fatal,Airplane,Cessna,500,No,2.0,Turbo Fan,Business,VMC
Incident,Airplane,Douglas,DC-9-31,No,2.0,Turbo Fan,Unknown,VMC
Incident,Airplane,Boeing,727-233,No,3.0,Turbo Fan,,VMC
Non-Fatal,Airplane,Mcdonnell Douglas,DC-10-10,No,3.0,Turbo Fan,Unknown,VMC
Incident,Airplane,Boeing,727-231,No,3.0,Turbo Fan,Unknown,IMC
Incident,Airplane,Boeing,737-291,No,2.0,Turbo Fan,Unknown,VMC
Incident,Airplane,Boeing,737-291,No,2.0,Turbo Fan,Unknown,IMC
Incident,Airplane,Mcdonnell Douglas,DC-10-30F,No,3.0,Turbo Fan,Unknown,VMC
Incident,Airplane,Boeing,727,No,3.0,Turbo Fan,Unknown,VMC
Incident,Airplane,Douglas,DC-9-30,No,2.0,Turbo Fan,Unknown,VMC
Non-Fatal,Airplane,Boeing,737-200,No,2.0,Turbo Fan,Unknown,VMC
Fatal(1),Airplane,Boeing,707-300,No,4.0,Turbo Fan,Unknown,VMC
Fatal(3),Airplane,Cessna,551,No,2.0,Turbo Fan,Business,IMC
Non-Fatal,Airplane,Mcdonald Douglas,DC-10,No,3.0,Turbo Fan,Unknown,VMC
Incident,Airplane,Boeing,727-223,No,3.0,Turbo Fan,Unknown,IMC
Non-Fatal,Airplane,Boeing,707-323C,No,4.0,Turbo Fan,Unknown,VMC
Incident,Airplane,Mcdonnell Douglas,DC-9-51,No,2.0,Turbo Fan,Unknown,VMC
Incident,Airplane,Boeing,737-201,No,2.0,Turbo Fan,Unknown,VMC
Incident,Airplane,Boeing,727-225,No,3.0,Turbo Fan,Unknown,VMC
Non-Fatal,Airplane,Boeing,737-291,No,2.0,Turbo Fan,Unknown,VMC
Incident,Airplane,Gates Lear Jet,35A,No,2.0,Turbo Fan,Executive/corporate,VMC
Incident,Airplane,Douglas,DC9-30,No,2.0,Turbo Fan,Unknown,IMC
Incident,Airplane,Boeing,727-223,No,3.0,Turbo Fan,Unknown,IMC
Incident,Airplane,Mcdonnell-douglas,DC-10-30,No,3.0,Turbo Fan,Unknown,VMC
Incident,Airplane,Lockheed,L-1011,No,3.0,Turbo Fan,Unknown,VMC
Incident,Airplane,Boeing,747,No,4.0,Turbo Fan,,VMC
Incident,Airplane,Douglas,DC-10-10,No,3.0,Turbo Fan,Unknown,VMC
Incident,Airplane,Boeing,727-200,No,3.0,Turbo Fan,Unknown,VMC
Non-Fatal,Airplane,Lockheed,L-1011-385-3,No,3.0,Turbo Fan,Unknown,VMC
Incident,Airplane,Douglas,DC-9-31,No,2.0,Turbo Fan,Unknown,VMC
Incident,Airplane,Boeing,747-123,No,4.0,Turbo Fan,Unknown,VMC
Incident,Airplane,Boeing,727-214,No,3.0,Turbo Fan,Unknown,VMC
Fatal(27),Airplane,Fokker,28-4000,No,2.0,Turbo Fan,Unknown,IMC
Non-Fatal,Airplane,Lockheed,L-1011-385-1,No,3.0,Turbo Fan,Unknown,VMC
Non-Fatal,Airplane,Lockheed,L-1011-385,No,3.0,Turbo Fan,Unknown,VMC
